iter	Passed	Remaining
856	2000	333
857	2002	331
858	2003	328
859	2004	326
860	2005	323
861	2010	321
862	2011	319
863	2012	316
864	2014	314
865	2015	311
866	2016	309
867	2018	306
868	2019	304
869	2021	302
870	2025	300
871	2027	297
872	2029	295
873	2031	292
874	2033	290
875	2034	287
876	2039	286
877	2040	283
878	2042	281
879	2043	278
880	2044	276
881	2045	273
882	2047	271
883	2048	268
884	2050	266
885	2053	264
886	2055	261
887	2056	259
888	2057	256
889	2059	254
890	2060	252
891	2062	249
892	2064	247
893	2067	245
894	2069	242
895	2070	240
896	2072	237
897	2073	235
898	2074	233
899	2076	230
900	2077	228
901	2079	225
902	2083	223
903	2084	221
904	2086	219
905	2087	216
906	2089	214
907	2090	211
908	2091	209
909	2093	207
910	2096	204
911	2098	202
912	2099	200
913	2101	197
914	2102	195
915	2103	192
916	2104	190
917	2106	188
918	2107	185
919	2111	183
920	2113	181
921	2116	179
922	2117	176
923	2119	174
924	2121	171
925	2122	169
926	2125	167
927	2127	165
928	2129	162
929	2130	160
930	2132	158
931	2133	155
932	2135	153
933	2136	150
934	2137	148
935	2141	146
936	2143	144
937	2144	141
938	2145	139
939	2147	137
940	2148	134
941	2149	132
942	2151	130
943	2152	127
944	2155	125
945	2157	123
946	2159	120
947	2161	118
948	2163	116
949	2164	113
950	2166	111
951	2169	109
952	2171	107
953	2173	104
954	2174	102
955	2176	100
956	2178	97
957	2179	95
958	2184	93
959	2185	91
960	2187	88
961	2188	86
962	2189	84
963	2191	81
964	2192	79
965	2193	77
966	2194	74
967	2197	72
968	2200	70
969	2202	68
970	2203	65
971	2204	63
972	2206	61
973	2207	58
974	2208	56
975	2211	54
976	2214	52
977	2216	49
978	2218	47
979	2219	45
980	2221	43
981	2222	40
982	2224	38
983	2227	36
984	2229	33
985	2230	31
986	2231	29
987	2233	27
988	2234	24
989	2235	22
990	2237	20
991	2240	18
992	2242	15
993	2244	13
994	2245	11
995	2247	9
996	2248	6
997	2249	4
998	2250	2
999	2252	0
